country,year,amount,gas
Australia,2014,393126.95,CO2 without lulucf
Australia,2013,396913.94,CO2 without lulucf
Australia,2012,406462.85,CO2 without lulucf
Australia,2011,403705.53,CO2 without lulucf
Australia,2010,406200.99,CO2 without lulucf
Australia,2009,408448.48,CO2 without lulucf
Australia,2008,404237.83,CO2 without lulucf
Australia,2007,398816.45,CO2 without lulucf
Australia,2006,391134.1,CO2 without lulucf
Australia,2005,385581.13,CO2 without lulucf
Australia,2004,381519.26,CO2 without lulucf
Australia,2003,368345.98,CO2 without lulucf
Australia,2002,361861.39,CO2 without lulucf
Australia,2001,357653.33,CO2 without lulucf
Australia,2000,349885.43,CO2 without lulucf
Australia,1999,343713.91,CO2 without lulucf
Australia,1998,334328.14,CO2 without lulucf
Australia,1997,320439.12,CO2 without lulucf
Australia,1996,311914.82,CO2 without lulucf
Australia,1995,305162.54,CO2 without lulucf
Australia,1994,293830.71,CO2 without lulucf
Australia,1993,289142.27,CO2 without lulucf
Australia,1992,284766.09,CO2 without lulucf
Australia,1991,279741.64,CO2 without lulucf
Australia,1990,278265.9,CO2 without lulucf
Austria,2014,64262.56,CO2 without lulucf
Austria,2013,67957.12,CO2 without lulucf
Austria,2012,67698.66,CO2 without lulucf
Austria,2011,70327.17,CO2 without lulucf
Austria,2010,72531.83,CO2 without lulucf
Austria,2009,67682.73,CO2 without lulucf
Austria,2008,74066.26,CO2 without lulucf
Austria,2007,74268.11,CO2 without lulucf
Austria,2006,76934.95,CO2 without lulucf
Austria,2005,79588.5,CO2 without lulucf
Austria,2004,78389.0,CO2 without lulucf
Austria,2003,78023.95,CO2 without lulucf
Austria,2002,72126.59,CO2 without lulucf
Austria,2001,70299.47,CO2 without lulucf
Austria,2000,66274.74,CO2 without lulucf
Austria,1999,65660.13,CO2 without lulucf
Austria,1998,67047.25,CO2 without lulucf
Austria,1997,67455.89,CO2 without lulucf
Austria,1996,67667.26,CO2 without lulucf
Austria,1995,64202.16,CO2 without lulucf
