,Year,LandAverageTemperature,land_avg_fahrenheit
0,1793,8.229166666666666,46.8125
1,1794,8.526000000000002,47.3468
2,1795,8.350333333333332,47.03059999999999
3,1796,8.270999999999999,46.8878
4,1797,8.510583333333335,47.319050000000004
5,1798,8.670250000000001,47.60645
6,1799,8.505749999999999,47.31035000000001
7,1800,8.48425,47.271649999999994
8,1801,8.589666666666668,47.461400000000005
9,1802,8.578166666666666,47.4407
10,1803,8.503,47.30539999999999
11,1804,8.844833333333334,47.920700000000004
12,1805,8.56275,47.41295
13,1806,8.434083333333332,47.18135000000001
14,1807,8.281416666666667,46.90655
15,1808,7.626833333333333,45.7283
16,1809,7.076416666666667,44.73755
17,1810,6.922666666666667,44.4608
18,1811,6.859500000000001,44.347100000000005
19,1812,7.046250000000001,44.683249999999994
20,1813,7.7399166666666686,45.93184999999999
21,1814,7.591749999999998,45.66514999999999
22,1815,7.239333333333334,45.0308
23,1816,6.9375,44.48749999999999
24,1817,6.975666666666668,44.55620000000001
25,1818,7.828916666666667,46.09205
26,1819,7.3691666666666675,45.2645
27,1820,7.616249999999998,45.70925
28,1821,8.090083333333332,46.562149999999995
29,1822,8.188333333333334,46.739
30,1823,7.718666666666665,45.89360000000001
31,1824,8.547166666666667,47.384899999999995
32,1825,8.389333333333333,47.1008
33,1826,8.356583333333333,47.041850000000004
34,1827,8.808749999999998,47.85575
35,1828,8.165333333333335,46.6976
36,1829,7.941833333333332,46.2953
37,1830,8.516749999999996,47.33015
38,1831,7.639166666666667,45.750499999999995
39,1832,7.450166666666667,45.4103
40,1833,8.013,46.423399999999994
41,1834,8.14675,46.66415000000001
42,1835,7.392499999999999,45.3065
43,1836,7.695833333333334,45.85249999999999
44,1837,7.3756666666666675,45.276199999999996
45,1838,7.514916666666665,45.526849999999996
46,1839,7.632249999999999,45.73805000000001
47,1840,7.796250000000001,46.03325
48,1841,7.688166666666667,45.83870000000001
49,1842,8.02275,46.44095000000001
50,1843,8.173666666666668,46.7126
51,1844,7.646333333333334,45.7634
52,1845,7.851166666666667,46.13210000000001
53,1846,8.55275,47.394949999999994
54,1847,8.086,46.5548
55,1848,7.979500000000001,46.3631
56,1849,7.984416666666667,46.371950000000005
57,1850,7.900666666666666,46.2212
58,1851,8.178583333333332,46.721450000000004
59,1852,8.100166666666665,46.580299999999994
60,1853,8.041833333333333,46.475300000000004
61,1854,8.2105,46.7789
62,1855,8.110750000000001,46.599349999999994
63,1856,7.995916666666669,46.392649999999996
64,1857,7.758166666666668,45.9647
65,1858,8.10025,46.58044999999999
66,1859,8.252,46.8536
67,1860,7.960833333333333,46.329499999999996
68,1861,7.8465,46.12370000000001
69,1862,7.558583333333335,45.60545
70,1863,8.111833333333333,46.6013
71,1864,7.983583333333335,46.370450000000005
72,1865,8.177833333333334,46.720099999999995
73,1866,8.292166666666665,46.925900000000006
74,1867,8.436333333333334,47.185399999999994
75,1868,8.247916666666667,46.84625
76,1869,8.432083333333333,47.17775
77,1870,8.201333333333332,46.76239999999999
78,1871,8.115083333333333,46.60715
79,1872,8.193833333333332,46.7489
80,1873,8.351083333333333,47.031950000000016
81,1874,8.4335,47.18030000000001
82,1875,7.859583333333334,46.14725000000001
83,1876,8.080083333333333,46.54415
84,1877,8.539583333333331,47.371249999999996
85,1878,8.829749999999999,47.89355
86,1879,8.165833333333333,46.698499999999996
87,1880,8.118749999999999,46.61375
88,1881,8.270916666666666,46.88764999999999
89,1882,8.128916666666667,46.63205
90,1883,7.976916666666668,46.358450000000005
91,1884,7.773666666666667,45.9926
92,1885,7.919666666666667,46.2554
93,1886,7.954499999999999,46.318099999999994
94,1887,7.914916666666667,46.246849999999995
95,1888,8.0905,46.56289999999999
96,1889,8.318999999999999,46.9742
97,1890,7.971666666666667,46.349
98,1891,8.019333333333334,46.4348
99,1892,8.065833333333332,46.51850000000001
100,1893,8.05675,46.50214999999999
101,1894,8.161,46.6898
102,1895,8.147,46.664599999999986
103,1896,8.214916666666666,46.786849999999994
104,1897,8.293333333333335,46.928
105,1898,8.177999999999999,46.720400000000005
106,1899,8.396333333333333,47.11339999999999
107,1900,8.501583333333333,47.302849999999985
108,1901,8.541916666666665,47.37545000000001
109,1902,8.304416666666667,46.94795
110,1903,8.220166666666668,46.7963
111,1904,8.090916666666667,46.56365
112,1905,8.225166666666665,46.80530000000001
113,1906,8.379083333333334,47.08235
114,1907,7.947166666666665,46.304899999999996
115,1908,8.186083333333334,46.73495
116,1909,8.17825,46.720850000000006
117,1910,8.223,46.8014
118,1911,8.177000000000001,46.7186
119,1912,8.165416666666667,46.69774999999999
120,1913,8.297749999999999,46.93595
121,1914,8.5905,47.4629
122,1915,8.593166666666665,47.4677
123,1916,8.22525,46.80545000000001
124,1917,8.023333333333335,46.44200000000001
125,1918,8.130833333333333,46.6355
126,1919,8.38225,47.08805000000001
127,1920,8.35875,47.045750000000005
128,1921,8.571,47.4278
129,1922,8.408,47.1344
130,1923,8.422166666666666,47.1599
131,1924,8.506833333333335,47.312300000000015
132,1925,8.534416666666667,47.36195
133,1926,8.728833333333332,47.71190000000001
134,1927,8.522083333333333,47.33975
135,1928,8.632166666666668,47.5379
136,1929,8.242416666666665,46.83635
137,1930,8.633583333333332,47.54045
138,1931,8.71925,47.69465
139,1932,8.705250000000001,47.669450000000005
140,1933,8.33825,47.00885
141,1934,8.628333333333336,47.531000000000006
142,1935,8.51575,47.32835
143,1936,8.554,47.3972
144,1937,8.698333333333332,47.657000000000004
145,1938,8.863666666666667,47.9546
146,1939,8.760333333333334,47.7686
147,1940,8.764666666666667,47.776399999999995
148,1941,8.768666666666668,47.78360000000001
149,1942,8.728416666666666,47.71115
150,1943,8.755083333333333,47.759150000000005
151,1944,8.845,47.92099999999999
152,1945,8.584833333333332,47.4527
153,1946,8.676916666666665,47.618449999999996
154,1947,8.797083333333333,47.834749999999985
155,1948,8.74675,47.74415
156,1949,8.586749999999999,47.45615000000001
157,1950,8.365250000000001,47.057449999999996
158,1951,8.625666666666666,47.526199999999996
159,1952,8.638250000000001,47.548849999999995
160,1953,8.873750000000001,47.97275
161,1954,8.560666666666666,47.4092
162,1955,8.62625,47.52725
163,1956,8.279583333333333,46.90325000000001
164,1957,8.7325,47.7185
165,1958,8.773750000000001,47.792750000000005
166,1959,8.732666666666665,47.71880000000001
167,1960,8.58375,47.45075
168,1961,8.797666666666666,47.8358
169,1962,8.745916666666666,47.742650000000005
170,1963,8.856,47.940799999999996
171,1964,8.409666666666666,47.13739999999999
172,1965,8.527416666666667,47.34935000000001
173,1966,8.599333333333332,47.4788
174,1967,8.700083333333334,47.660149999999994
175,1968,8.516333333333334,47.3294
176,1969,8.595083333333333,47.471149999999994
177,1970,8.700916666666666,47.66165
178,1971,8.59925,47.478649999999995
179,1972,8.499583333333334,47.29925
180,1973,8.94825,48.10685
181,1974,8.467500000000001,47.2415
182,1975,8.744833333333334,47.740700000000004
183,1976,8.347249999999999,47.02505
184,1977,8.850249999999999,47.93045000000001
185,1978,8.692749999999998,47.64695
186,1979,8.733416666666665,47.72015
187,1980,8.980333333333334,48.1646
188,1981,9.165833333333333,48.4985
189,1982,8.639166666666666,47.5505
190,1983,9.028166666666666,48.2507
191,1984,8.691833333333333,47.6453
192,1985,8.658,47.58440000000001
193,1986,8.833583333333333,47.90045
194,1987,8.994416666666668,48.18995
195,1988,9.201583333333334,48.56285
196,1989,8.922000000000002,48.059599999999996
197,1990,9.234166666666667,48.621500000000005
198,1991,9.179416666666667,48.52295000000001
199,1992,8.836583333333333,47.905849999999994
200,1993,8.866583333333333,47.95985000000001
201,1994,9.038749999999999,48.26975000000001
202,1995,9.347083333333332,48.824749999999995
203,1996,9.038916666666667,48.27004999999999
204,1997,9.202583333333331,48.56465
205,1998,9.522666666666666,49.14080000000001
206,1999,9.285083333333333,48.71314999999999
207,2000,9.201166666666667,48.56210000000001
208,2001,9.414583333333335,48.94625
209,2002,9.570416666666667,49.22675000000001
210,2003,9.525583333333334,49.14605
211,2004,9.324583333333333,48.78425000000001
212,2005,9.700916666666666,49.46164999999999
213,2006,9.532499999999999,49.1585
214,2007,9.732166666666666,49.5179
215,2008,9.431750000000001,48.97715
216,2009,9.505250000000002,49.10945
217,2010,9.703083333333332,49.46555
218,2011,9.516,49.128800000000005
219,2012,9.507333333333333,49.1132
220,2013,9.6065,49.2917
