,Country,Lat,Lng,1950,1955,Growth 1950-1955,1960,Growth 1955-1960,1965,Growth 1960-1965,1970,Growth 1965-1970,1975,Growth 1970-1975,1980,Growth 1975-1980,1985,Growth 1980-1985,1990,Growth 1985-1990,1995,Growth 1990-1995,2000,Growth 1995-2000,2005,Growth 2000-2005,2010,Growth 2005-2010,2015,Growth 2010-2015,2020,Growth 2015-2020,2025,Growth 2020-2025,2030,Growth 2025-2030,2035,Growth 2030-2035,2040,Growth 2035-2040,2045,Growth 2040-2045,2050,Growth 2045-2050
0,Afghanistan,33.93911,67.709953,8151,8892,1.76,9830,2.03,10998,2.27,12431,2.48,14133,2.6,15045,1.26,13120,-2.7,13569,0.67,19446,7.46,22462,2.93,26335,3.23,29121,2.03,32565,2.26,36644,2.39,41118,2.33,45665,2.12,50195,1.91,54717,1.74,59256,1.61,63796,1.49
1,Albania,41.153332,20.168331,1228,1393,2.56,1624,3.12,1884,3.02,2157,2.74,2402,2.17,2672,2.16,2957,2.05,3245,1.88,3159,-0.54,3159,0.0,3025,-0.86,2987,-0.25,3030,0.28,3075,0.3,3105,0.2,3103,-0.01,3063,-0.26,2994,-0.45,2913,-0.55,2825,-0.61
2,Algeria,28.033886,1.659626,8893,9842,2.05,10910,2.08,11964,1.86,13932,3.09,16141,2.99,18807,3.1,22009,3.19,25191,2.74,28322,2.37,30639,1.58,32918,1.45,35950,1.78,39543,1.92,42973,1.68,45842,1.3,48149,0.99,50118,0.8,52030,0.75,53894,0.71,55445,0.57
3,American Samoa,-14.270972,-170.132217,20,20,0.72,21,0.2,25,4.23,28,2.08,30,1.68,33,1.81,39,3.57,48,4.09,54,2.69,58,1.39,57,-0.28,56,-0.53,55,-0.41,54,-0.21,54,-0.17,53,-0.32,52,-0.45,51,-0.45,50,-0.29,50,-0.06
4,Andorra,42.506285,1.521801,7,7,0.04,9,6.28,14,10.17,20,7.49,27,6.32,34,4.81,45,5.84,53,3.41,64,3.7,66,0.58,77,3.18,85,2.12,86,0.25,86,0.01,86,-0.12,85,-0.21,83,-0.3,82,-0.46,79,-0.69,75,-0.93
5,Angola,-11.202692,17.873887,4118,4424,1.44,4798,1.64,5135,1.37,5606,1.77,6051,1.54,7206,3.56,8390,3.09,9486,2.48,11000,3.01,12683,2.89,14770,3.09,17043,2.9,19626,2.86,22485,2.76,25674,2.69,29155,2.58,32910,2.45,36948,2.34,41280,2.24,45889,2.14
6,Anguilla,18.220554,-63.06861499999999,6,6,0.8,6,0.79,6,0.75,7,0.8,7,0.68,7,0.64,7,1.35,9,3.84,10,3.2,12,3.02,14,2.8,15,2.4,17,2.14,19,1.96,20,1.77,22,1.58,23,1.41,25,1.24,26,1.09,27,0.96
7,Antigua and Barbuda,17.060816,-61.796428,46,52,2.19,55,1.32,60,1.7,66,2.05,69,0.73,69,0.15,65,-1.24,65,-0.07,69,1.38,76,1.86,82,1.53,87,1.31,93,1.28,99,1.21,104,1.13,110,0.99,114,0.82,118,0.65,121,0.52,123,0.41
8,Argentina,-38.416097,-63.61667199999999,17151,18928,1.99,20617,1.72,22284,1.57,23963,1.46,26082,1.71,28370,1.7,30672,1.57,33036,1.5,35274,1.32,37336,1.14,39182,0.97,41344,1.08,43432,0.99,45379,0.88,47165,0.77,48796,0.68,50273,0.6,51574,0.51,52663,0.42,53512,0.32
9,Armenia,40.069099,45.038189,1356,1566,2.92,1869,3.61,2206,3.37,2520,2.7,2835,2.38,3134,2.03,3465,2.02,3530,0.37,3131,-2.37,3101,-0.19,3085,-0.1,3072,-0.08,3057,-0.1,3022,-0.23,2962,-0.4,2884,-0.53,2796,-0.62,2699,-0.71,2590,-0.82,2469,-0.95
10,Aruba,12.52111,-69.968338,50,54,1.62,58,1.21,60,0.63,60,0.01,60,0.06,60,0.23,62,0.53,64,0.49,80,4.87,90,2.39,97,1.51,105,1.52,113,1.41,120,1.26,127,1.1,133,0.93,138,0.8,143,0.69,147,0.61,151,0.55
11,Australia,-25.274398,133.775136,8268,9278,2.33,10362,2.24,11440,2.0,12661,2.05,13772,1.7,14616,1.2,15696,1.44,16957,1.56,17976,1.17,19054,1.17,20233,1.21,21516,1.24,22752,1.12,23939,1.02,25054,0.91,26056,0.79,26932,0.66,27702,0.57,28390,0.49,29013,0.44
12,Austria,47.516231,14.550072,6936,6947,0.03,7048,0.29,7271,0.63,7468,0.53,7579,0.3,7550,-0.08,7560,0.03,7723,0.43,8048,0.83,8114,0.16,8315,0.49,8448,0.32,8666,0.51,8860,0.44,8988,0.29,9075,0.19,9121,0.1,9136,0.03,9129,-0.01,9108,-0.05
13,Azerbaijan,40.143105,47.576927,2886,3314,2.81,3882,3.21,4567,3.31,5169,2.51,5697,1.96,6199,1.7,6846,2.0,7498,1.84,8051,1.43,8464,1.0,8826,0.84,9302,1.06,9781,1.01,10206,0.85,10534,0.63,10782,0.47,10974,0.35,11118,0.26,11201,0.15,11210,0.02
14,Bahamas,25.03428,-77.39627999999999,71,88,4.33,113,5.19,140,4.4,171,4.12,190,2.12,210,2.09,229,1.7,246,1.44,266,1.59,283,1.28,297,0.98,311,0.91,325,0.9,338,0.8,350,0.67,359,0.51,365,0.36,369,0.23,372,0.12,372,0.01
15,Bahrain,26.0667,50.5577,115,131,2.55,157,3.76,192,4.09,220,2.78,259,3.34,348,6.08,424,4.02,506,3.62,583,2.85,655,2.38,916,6.94,1181,5.2,1347,2.68,1506,2.25,1580,0.98,1639,0.73,1701,0.74,1759,0.67,1806,0.54,1848,0.45
16,Bangladesh,23.684994,90.356331,45646,49589,1.67,54593,1.94,60285,2.0,67332,2.24,76153,2.49,87938,2.92,102309,3.07,112213,1.87,121443,1.59,132151,1.7,144139,1.75,156119,1.61,168958,1.59,169778,1.12,178312,1.09,185605,0.96,191616,0.81,196224,0.66,199442,0.45,201249,0.17
17,Barbados,13.193887,-59.543198,211,228,1.53,233,0.44,235,0.23,239,0.32,248,0.69,252,0.39,258,0.42,263,0.39,268,0.41,274,0.45,281,0.46,286,0.4,291,0.34,295,0.27,298,0.17,298,0.04,297,-0.09,294,-0.22,289,-0.34,283,-0.44
18,Belarus,53.709807,27.953389,7723,7781,0.15,8168,0.98,8591,1.01,9028,1.0,9361,0.73,9644,0.6,9982,0.69,10201,0.43,10205,0.01,10034,-0.34,9807,-0.46,9681,-0.26,9590,-0.19,9478,-0.23,9326,-0.32,9145,-0.39,8957,-0.41,8768,-0.43,8567,-0.46,8340,-0.53
19,Belgium,50.503887,4.469936,8640,8869,0.52,9119,0.56,9449,0.71,9638,0.4,9795,0.32,9847,0.11,9859,0.02,9970,0.22,10156,0.37,10264,0.21,10470,0.4,10866,0.75,11324,0.83,11721,0.69,12038,0.54,12268,0.38,12439,0.28,12583,0.23,12695,0.18,12773,0.12
20,Belize,17.189877,-88.49765,66,77,3.17,92,3.62,107,3.09,123,2.68,136,2.13,145,1.27,166,2.77,191,2.89,218,2.62,249,2.69,282,2.55,315,2.26,348,2.01,380,1.79,412,1.6,441,1.42,470,1.25,496,1.11,521,0.98,544,0.87
