,Country,Year,Population,Rate
0,Afghanistan,1955,8892,1.76
1,Albania,1955,1393,2.56
2,Algeria,1955,9842,2.05
3,American Samoa,1955,20,0.72
4,Andorra,1955,7,0.04
5,Angola,1955,4424,1.44
6,Anguilla,1955,6,0.8
7,Antigua and Barbuda,1955,52,2.19
8,Argentina,1955,18928,1.99
9,Armenia,1955,1566,2.92
10,Aruba,1955,54,1.62
11,Australia,1955,9278,2.33
12,Austria,1955,6947,0.03
13,Azerbaijan,1955,3314,2.81
14,Bahamas,1955,88,4.33
15,Bahrain,1955,131,2.55
16,Bangladesh,1955,49589,1.67
17,Barbados,1955,228,1.53
18,Belarus,1955,7781,0.15
19,Belgium,1955,8869,0.52
20,Belize,1955,77,3.17
21,Benin,1955,1847,1.99
22,Bermuda,1955,42,1.3
23,Bhutan,1955,187,2.61
24,Bolivia,1955,3075,2.14
25,Bosnia and Herzegovina,1955,2975,2.24
26,Botswana,1955,462,1.39
27,Brazil,1955,61652,2.9
28,British Virgin Islands,1955,7,1.13
29,Brunei,1955,61,6.28
30,Bulgaria,1955,7500,0.68
31,Burkina Faso,1955,4615,1.07
32,Burundi,1955,2577,1.75
33,Cambodia,1955,5049,2.46
34,Cameroon,1955,5211,1.29
35,Canada,1955,16051,2.75
36,Cape Verde,1955,170,2.93
37,Cayman Islands,1955,7,2.04
38,Central African Republic,1955,1349,1.37
39,Chad,1955,2806,1.47
40,Chile,1955,6744,2.06
41,China,1955,607047,1.53
42,Colombia,1955,13589,3.23
43,Comoros,1955,164,2.03
44,Cook Islands,1955,17,2.18
45,Costa Rica,1955,1032,3.54
46,Croatia,1955,3956,0.61
47,Cuba,1955,6382,1.98
48,Curaçao,1955,112,2.04
49,Cyprus,1955,533,1.52
50,Czech Republic,1955,9366,0.97
51,Democratic Republic of the Congo,1955,14953,1.96
52,Denmark,1955,4440,0.77
53,Djibouti,1955,91,2.67
54,Dominica,1955,57,1.93
55,Dominican Republic,1955,2738,3.07
56,Timor-Leste,1955,473,1.63
57,Ecuador,1955,3843,2.66
58,Egypt,1955,23856,2.39
59,El Salvador,1955,2222,2.75
60,Equatorial Guinea,1955,226,1.35
61,Eritrea,1955,1499,1.34
62,Estonia,1955,1155,1.05
63,Ethiopia,1955,21991,1.74
64,Faroe Islands,1955,33,0.69
65,Federated States of Micronesia,1955,36,3.12
66,Fiji,1955,333,2.94
67,Finland,1955,4235,1.1
68,France,1955,44243,0.79
69,French Polynesia,1955,72,2.97
